Country,US_2024_Deficit,US_2024_Exports,US_2024_Imports,Tarrifs_on_America,Tarrifs_imposed_by_America
Malawi,-14.1,26.9,41.1,34%,17%
Papua New Guinea,-12,67.2,79.2,15%,10%
Afghanistan,-11.1,11.4,22.6,49%,25%
Belarus,-9.4,10.6,20,47%,24%
Vanuatu,-6.1,7.6,13.7,45%,22%
New Caledonia,-4.5,29.4,33.8,13%,10%
Niue,-3.7,0.6,4.3,86%,43%
West Bank Administered by Israel,-2.3,3.7,6,38%,19%
St Helena,-1.6,9,10.6,15%,10%
Nauru,-1.3,0.9,2.2,59%,30%
Gabon,-0.6,171.1,171.7,10%,10%
Mayotte,-0.1,1.8,1.9,10%,10%
Bhutan,0.1,3.4,3.3,10%,10%
Nepal,0.4,120.9,120.5,10%,10%
Christmas Island,0.4,2.1,1.7,10%,10%
Andorra,1.5,4.9,3.4,10%,10%
Cocos (Keeling) Islands,1.5,2.6,1.1,10%,10%
Burundi,2.9,6.6,3.7,10%,10%
Comoros,2.9,4.7,1.8,10%,10%
Guinea-Bissau,3.3,3.4,0.1,10%,10%
British Indian Ocean Territories,5,5.5,0.5,10%,10%
Cook Islands,6,6.9,0.9,10%,10%
Montserrat,6.4,12.1,5.6,10%,10%
Cabo Verde,7.8,12.2,4.5,10%,10%
Seychelles,9.4,16.5,7.2,10%,10%
Solomon Islands,11.8,13.1,1.3,10%,10%
Montenegro,12.3,27.7,15.4,10%,10%
Timor-Leste,13.1,19,5.9,10%,10%
Albania,13.4,141.7,128.3,10%,10%
Rwanda,14.5,44.8,30.2,10%,10%
Kosovo,15.4,49.4,34,10%,10%
Greenland,15.8,48.4,32.6,10%,10%
Tonga,17.1,19.9,2.8,10%,10%
Palau,18.8,21,2.2,10%,10%
Eswatini,23.5,46.1,22.6,10%,10%
French Guiana,27.2,29,1.8,10%,10%
Central African Republic,33.6,35.1,1.4,10%,10%
Niger,34.9,43.3,8.3,10%,10%
Armenia,39.2,160.8,121.6,10%,10%
Sudan,43.5,56.6,13.1,10%,10%
Kenya,45.2,782.5,737.3,10%,10%
Mali,46,51.5,5.5,10%,10%
Somalia,46.6,49.1,2.5,10%,10%
Micronesia,48,50.5,2.4,10%,10%
Samoa,48.7,54.4,5.7,10%,10%
Burkina Faso,49.8,54.4,4.5,10%,10%
Tajikistan,52.2,56.8,4.6,10%,10%
San Marino,54.8,80,25.2,10%,10%
Dominica,56.5,58.8,2.3,10%,10%
South Sudan,58.5,59.3,0.8,10%,10%
Turkmenistan,67.6,82.2,14.6,10%,10%
Anguilla,71.3,72.5,1.2,10%,10%
Gambia,78.6,80.6,2,10%,10%
Iran,84.6,90.8,6.2,10%,10%
Falkland Islands,85,209,159,10%,10%
Maldives,87.8,92.6,4.8,10%,10%
Syria,90,217,173,10%,10%
Sierra Leone,91.1,119.9,28.7,10%,10%
St Pierre and Miquelon,95,232,194,10%,10%
Azerbaijan,97.3,255.1,157.8,10%,10%
Norfolk Island,100,230,224,10%,10%
Tokelau,104,229,225,10%,10%
French Polynesia,104.8,145.2,40.4,10%,10%
Djibouti,104.9,145,40.1,10%,10%
Tuvalu,106,226,222,10%,10%
Gaza Strip Administered by Israel,107,227,223,10%,10%
Marshall Islands,107,127.4,20.4,10%,10%
Svalbard and Jan Mayen Island,108,228,229,10%,10%
Sao Tome and Principe,111,222,219,10%,10%
Vatican City,112,223,226,10%,10%
Pitcairn Islands,113,221,233,10%,10%
North Korea,114,219,228,10%,10%
Monaco,115.2,162.8,47.6,10%,10%
Senegal,115.7,350.9,235.1,10%,10%
Kyrgyzstan,116.5,133.1,16.7,10%,10%
Kiribati,121,208,217,10%,10%
Yemen,125.2,134.1,8.9,10%,10%
Guinea,132.2,138.3,6.2,10%,10%
St Vincent and the Grenadines,135,143.2,8.3,10%,10%
Mauritania,136.9,139.8,2.9,10%,10%
Eritrea,140,185,216,10%,10%
St Kitts and Nevis,140.6,160.2,19.6,10%,10%
Liberia,147.9,220.4,72.5,10%,10%
Grenada,151.3,165.3,14.1,10%,10%
Macau,166.3,275.1,108.8,10%,10%
Benin,167.8,216.4,48.6,10%,10%
Togo,193.6,283.6,90,10%,10%
Martinique,196.4,199.2,2.8,10%,10%
Congo (Brazzaville),196.9,237.1,40.2,10%,10%
British Virgin Islands,252.7,312.9,60.2,10%,10%
Lebanon,283.8,541.4,257.6,10%,10%
Suriname,292.6,383.5,90.9,10%,10%
Uzbekistan,338.4,380.8,42.4,10%,10%
Tanzania,368.7,573.4,204.7,10%,10%
Mongolia,369.6,396.6,27,10%,10%
Uruguay,420.2,1649,1228.8,10%,10%
Bahrain,441.9,1646.2,1204.3,10%,10%
Saudi Arabia,443.3,13177,12733.7,10%,10%
Guadeloupe,467.2,470.6,3.4,10%,10%
Ukraine,497,1683.5,1186.5,10%,10%
Belize,509.3,590.4,81.1,10%,10%
Bermuda,517.1,540.4,23.3,10%,10%
Antigua and Barbuda,550,573.8,23.8,10%,10%
Ethiopia,551.9,1017.7,465.8,10%,10%
Cuba,581.6,586.5,4.9,10%,10%
Haiti,597.7,1214.4,616.8,10%,10%
Oman,634.3,1954.3,1320,10%,10%
Gibraltar,650.2,650.6,0.4,10%,10%
Sint Maarten,652.4,753.9,101.5,10%,10%
Turks and Caicos Islands,702.6,713.6,11,10%,10%
Aruba,714.8,725.5,10.7,10%,10%
Barbados,724,772.6,48.6,10%,10%
Kuwait,768.2,2411.8,1643.6,10%,10%
Curacao,791.6,823.5,31.9,10%,10%
St Lucia,1036.6,1043.6,7,10%,10%
Cayman Islands,1237.1,1286.5,49.4,10%,10%
Colombia,1347.3,19037.6,17690.3,10%,10%
Honduras,1524.9,7057.5,5532.6,10%,10%
Georgia,1571,1736.5,165.4,10%,10%
Chile,1698.3,18167.8,16469.5,10%,10%
Peru,1860.6,11223.8,9363.2,10%,10%
Qatar,1970.1,3804.2,1834.2,10%,10%
Argentina,2078.8,9171,7092.2,10%,10%
El Salvador,2245.1,4556.4,2311.2,10%,10%
Jamaica,2282.8,2644.1,361.4,10%,10%
Paraguay,2802.3,3158.4,356.2,10%,10%
Singapore,2828.9,46032.6,43203.7,10%,10%
Morocco,3363.8,5268.6,1904.9,10%,10%
Egypt,3546,6092,2546,10%,10%
Bahamas,3847.4,5639.7,1792.4,10%,10%
Guatemala,4694.9,9714.8,5019.9,10%,10%
Dominican Republic,5576.2,13081.7,7505.4,10%,10%
Brazil,7350.7,49667,42316.3,10%,10%
Panama,10146.3,10702.1,555.8,10%,10%
United Kingdom,11856.9,79941.3,68084.5,10%,10%
Australia,17907.8,34593.3,16685.5,10%,10%
United Arab Emirates,19494.9,26969.3,7474.4,10%,10%
Hong Kong,21913.5,27886.4,5972.9,10%,10%
